# --------------- Global -----------------------------------------------------
$SSL_ClickHere	Click Here
$SSL_Random	Random
$SSL_Never	Never
$SSL_Sometimes	Sometimes
$SSL_Everything	Everything
$SSL_Always	Always
$SSL_Unknown	Unknown
$SSL_Remove	Remove
$SSL_Seconds	{0} Seconds
$SSL_Male	Male
$SSL_Female	Female
$SSL_Futa	Futa
$SSL_Creature	Creature
$SSL_View	View
$SSL_NoTarget	(No Target)
$SSL_Apply	Apply
$SSL_Enabled	Enabled
$SSL_PrevPage	<< PREVIOUS PAGE
$SSL_NextPage	NEXT PAGE >>
$SSL_Low	Low
$SSL_High	High
$SSL_ConflictControl{}{}	This key is already mapped to:\n{} ({})\n\nAre you sure you want to continue?
$SSL_ConflictControl{}	This key is already mapped to:\n{}\n\nAre you sure you want to continue?
$SSL_KeyCannotBeDisabled	This key is mandatory to be assigned and cannot be disabled.

# --------------- Races -----------------------------------------------------

$SSL_Creatures	Creatures
$SSL_Humans	Humans

$SSL_Race_0	Humans
$SSL_Race_1	Ash Hopper
$SSL_Race_2	Bear
$SSL_Race_3	Boar
$SSL_Race_4	Boar Mounted
$SSL_Race_5	Boar Single
$SSL_Race_6	Canine
$SSL_Race_7	Chaurus
$SSL_Race_8	Chaurus Hunter
$SSL_Race_9	Chaurus Reaper
$SSL_Race_10	Chicken
$SSL_Race_11	Cow
$SSL_Race_12	Deer
$SSL_Race_13	Dog
$SSL_Race_14	Dragon
$SSL_Race_15	Dragon Priest
$SSL_Race_16	Draugr
$SSL_Race_17	Dwarven Ballista
$SSL_Race_18	Dwarven Centurion
$SSL_Race_19	Dwarven Sphere
$SSL_Race_20	Dwarven Spider
$SSL_Race_21	Falmer
$SSL_Race_22	Flame Atronach
$SSL_Race_23	Fox
$SSL_Race_24	Frost Atronach
$SSL_Race_25	Gargoyle
$SSL_Race_26	Giant
$SSL_Race_27	Giant Spider
$SSL_Race_28	Goat
$SSL_Race_29	Hagraven
$SSL_Race_30	Rabbit
$SSL_Race_31	Horker
$SSL_Race_32	Horse
$SSL_Race_33	Ice Wraith
$SSL_Race_34	Large Spider
$SSL_Race_35	Lurker
$SSL_Race_36	Mammoth
$SSL_Race_37	Mudcrab
$SSL_Race_38	Netch
$SSL_Race_39	Riekling
$SSL_Race_40	Sabrecat
$SSL_Race_41	Seeker
$SSL_Race_42	Skeever
$SSL_Race_43	Slaughterfish
$SSL_Race_44	Spider
$SSL_Race_45	Spriggan
$SSL_Race_46	Storm Atronach
$SSL_Race_47	Troll
$SSL_Race_48	Vampire Lord
$SSL_Race_49	Werewolf
$SSL_Race_50	Wisp
$SSL_Race_51	Wispmother
$SSL_Race_52	Wolf

# --------------- UI -----------------------------------------------------
$SSL_Thread	Thread
$SSL_Positions	Positions
$SSL_Debug	Debug
$SSL_SceneInfo	Scene Info
$SSL_Offset	Offset
$SSL_AlternateScenes	Scenes
$SSL_PickRandom	Play Random Scene
$SSL_ToggleAutoplay	Toggle Auto Play
$SSL_Name	Name
$SSL_Author	Author
$SSL_Package	Package
$SSL_Tags	Tags
$SSL_CustomTags	Annotations
$SSL_ActiveFurniture{}	Center: {}
$SSL_StepSize	Step Size
$SSL_StageOnly	Stage Only
$SSL_ResetOffsets	Reset Offsets
$SSL_Permutation	Permutation
$SSL_Expression	Expression
$SSL_Voice	Voice
$SSL_GhostMode	Ghost Mode
$SSL_ExitMenu	Exit Menu
$SSL_PauseAnimation	Pause Animation
$SSL_MoveScene	Move Scene
$SSL_Speed	Speed
$SSL_NextStage	Next Stage
$SSL_EndScene	End Scene
$SSL_HideHUD	Hide Game HUD
$SSL_HideUI	Hide Scene HUD
$SSL_None	None

# --------------- Sex Journal (Sex Diary) -----------------------------------------------------
$SSL_SexJournal	Sex Journal
$SSL_SexDiary	Sex Diary

$SSL_StatSelectingMenu	Viewing Statistics
$SSL_StatSelectingMenuHighlight	The currently selected Reference which's statistics are being displayed.

$SSL_Reset{}Stats	Reset {} Stats
$SSL_ResetStatHighlight	Delete the selected Actor from the statistics registry, effectively resetting their statistics, default and custom ones.
$SSL_WarnReset{}Stats	Running this will reset all sexual experience and stats for {}. Do you want to continue?

# ------ Statistics
$SSL_Statistics	Statistics

$SSL_LastTimeInScene	Date of last Scene
$SSL_TimeInScenes	Time spent in Scenes
$SSL_Statistic_2	Vaginal Experience
$SSL_Statistic_3	Anal Experience
$SSL_Statistic_4	Oral Experience

$SSL_Unskilled	Unskilled
$SSL_Novice	Novice
$SSL_Apprentice	Apprentice
$SSL_Journeyman	Journeyman
$SSL_Expert	Expert
$SSL_Master	Master
$SSL_GrandMaster	Grand Master

$SSL_Statistic_5	Partners: Male
$SSL_Statistic_6	Partners: Female
$SSL_Statistic_7	Partners: Futa
$SSL_Statistic_8	Partners: Creature

$SSL_Sexuality	Sexuality
$SSL_SexualityHighlight	Click to change this Actors sexuality.

$SSL_Lesbian	Lesbian
$SSL_Gay	Gay
$SSL_Bisexual	Bisexual
$SSL_Heterosexual	Heterosexual

$SSL_Statistic_9	Times Oral
$SSL_Statistic_10	Times Vaginal
$SSL_Statistic_11	Times Anal
$SSL_Statistic_12	Times Masturbated
$SSL_Statistic_13	Times Submissive
$SSL_Statistic_14	Times Dominant
$SSL_Statistic_15	Times Total



# ----------------- Animation Settings ---------------------------------------------------
$SSL_AnimationSettings	Animation Settings

# ------ Player settings
$SSL_PlayerSettings	Player Settings

$SSL_bAutoAdvance	Auto Advance Stages
$SSL_bAutoAdvanceHighlight	Animations will automatically advance by timer when player is involved.
$SSL_bDisablePlayer	Disable Victim Controls
$SSL_bDisablePlayerHighlight	When player is the victim in an animation animation controls are not enabled.
$SSL_bAutoTFC	Automatic Free Camera
$SSL_bAutoTFCHighlight	If enabled, will automatically enable the free flying camera (TFC) when animation involving the player starts.
$SSL_fAutoSUCSM	Free Camera Speed
$SSL_fAutoSUCSMHighlight	When starting the free camera this will be the default speed it will move at.
$SSL_PlayerSex	Player Sex
$SSL_{}Sex	{}'s Sex
$SSL_SexSelectHighlight	How SexLab perceives this actor's sex. This is used to determine which position(s) an actor can be placed in during scenes.\nHas no direct influence on how an actor acts or looks.

# ------ Extra effects
$SSL_ExtraEffects	Extra Effects

$SSL_ClimaxType	ClimaxType
$SSL_ClimaxTypeHighlight	The behavior of climaxes during Scenes.
$SSL_Climax_0	Scene (Orgasm Stages)
$SSL_Climax_1	Legacy (Animation End)
$SSL_Climax_2	Separate (SLSO)

$SSL_bOrgasmEffects	Play Orgasm Effects
$SSL_bOrgasmEffectsHighlight	If enabled, orgasm sounds effects will be played on each actor orgasm, also the camera shake on player orgasm.
$SSL_fShakeStrength	Shake Camera Strength
$SSL_fShakeStrengthHighlight	If "Play Orgasm Effects" is enabled, set the strength of the camera shake on player orgasm.\nSet on "0" to disable it.
$SSL_bUseCum	Apply Cum Effects
$SSL_bUseCumHighlight	Apply a cum texture effect to receiver/victim characters after a male partner/aggressor orgasm.
$SSL_fCumTimer	Cum Effect Timer
$SSL_fCumTimerHighlight	How long the above cum effect will display on a character.
$SSL_bUseExpressions	Apply Facial Expressions
$SSL_bUseExpressionsHighlight	Applies selected MFG presets to an actor during animation which increases as the animation progresses in relation to that particular characters applicable skills. WARNING: The expression presets can cause graphical oddities when combined with the voice lip syncing option.
$SSL_bUseLipSync	Play Lip Sync Animation
$SSL_bUseLipSyncHighlight	Whenever an actor moans, a basic mouth movement animation will be played. WARNING: The animation tends to fail to play correctly when combined with MFG facial expressions.

# ------ Lovense
$SSL_Lovense	Lovense
$SSL_iLovenseStrength	Default Strength
$SSL_iLovenseStrengthHighlight	Vibration strength of Lovense Toys during scenes. Only applies to scenes the player is involved.
$SSL_iLovenseStrengthOrgasm	Orgasm Strength
$SSL_iLovenseStrengthOrgasmHighlight	Vibration strength of Lovense Toys after an orgasm occurs. Only applies to the player's orgasms.
$SSL_iLovenseDurationOrgasm	Orgasm Duration
$SSL_iLovenseDurationOrgasmHighlight	How long the vibration will last before resetting when an orgasm occurs.

# ------ Creatures
$SSL_bAllowCreatures	Allow Creature Animation
$SSL_bAllowCreaturesHighlight	Allows creatures to be used in animations.
$SSL_bCreatureGender	Match Creature Sex
$SSL_bCreatureGenderHighlight	If SexLab should differ between male and female creatures.\nSexLab usually treats all non-human actors as male.

# ------ Animation Handling
$SSL_AnimationHandling	Animation Handling

$SSL_UseFade	Use Fade
$SSL_UseFadeHighlight	Apply an image modifier effect at the beginning of an animation.
$SSL_UseBlur	Blur
$SSL_UseBlack	Black
$SSL_bUndressAnimation	Undress Animation
$SSL_bUndressAnimationHighlight	Actors will play an undressing animation when initially stripping.
$SSL_bRedressVictim	Victim's Re-dress
$SSL_bRedressVictimHighlight	Victims in animations will not automatically dress after the animation ends.
$SSL_bDisableTeleport	Disable Starting Teleport
$SSL_bDisableTeleportHighlight	On animation start, actors will attempt to approach each other prior to the animation fully starting.
$SSL_bShowInMap	Show Scenes on Map
$SSL_bShowInMapHighlight	Get a miscellaneous quest marker for each scene playing nearby (except the ones you are participating in yourself).
$SSL_bSetAnimSpeedByEnjoyment	Enjoyment affected Animation Speed
$SSL_bSetAnimSpeedByEnjoymentHighlight	Base animation speed changes depending on actor enjoyment (+/-20%).
$SSL_FurnitureNPC	Furniture Use: NPC
$SSL_FurnitureNPCHighlight	Decide how NPC use Furniture. Specifically, decide if NPC use the furniture scenes over regular ones, when available.
$SSL_AskNotSub	Ask (Unless Submissive)
$SSL_AskAlways	Ask (Always)
$SSL_FurniturePlayer	Furniture Use: Player
$SSL_FurniturePlayerHighlight	Decide when you want to use Furniture Scenes (when applicable). This overwrites the corresponding NPC setting for scenes involved the player. 'Ask'-Options open a menu to select a furniture. If submissive (and the 'Unless Submissive' version is set), falls back into NPC settings.

# ---- COMEBACK: Might delete
$SSL_bDisableScale	Disable Scaling / CTD Fix
$SSL_bDisableScaleHighlight	!!! Only Enable if Needed !!!\nDisables all internal uses of SetScale() within SexLab, which is known to cause crashes during animation start for some users. Some scaling may still occur through other means, such as furniture use, which SexLab will be unable to correct for while this is enabled. Your results may vary.

# ----------------- Voices & SFX ---------------------------------------------------
$SSL_SoundSettings	Voices & SFX

$SSL_fSFXVolume	SFX Volume
$SSL_fSFXVolumeHighlight	The overall volume of the SFX from 0.0 as silent to 1.0 as full volume.
$SSL_fSFXDelay	SFX Delay
$SSL_fSFXDelayHighlight	Applicable sound effects will start out at this interval and will decrease with each stage.
$SSL_fVoiceVolume	Voice Volume
